Artist,Title,Lyrics,Mood
Billy Squier,In The Dark,"Life isn't easy from the singular side
Down in the hole some emotions are hard to hide
It's your decision, it's the chance that you take
It's on your head, it's a habit that's hard to break
Do you need a friend, would you tell no lies
Would you take me in, are you lonely in the dark
In the dark
In the dark
In the dark
You never listen to the voices inside
They fill your ears as you run to a place to hide
You're never sure if the illusion is real
You pinch yourself but the memories are all you feel
Can you break away from your alibies
Can you make a play, will you meet me in the dark
In the dark
In the dark
In the dark
In the dark
In the dark, ah ah ah
Don'tcha need me, hey, hey
Don'tcha need me, oh yea
Don'tcha need me, hey, hey
Don'tcha need me, oh yea
You take no interest, no opinion's to dear
You make the rounds and you try to be so sincere
You guard your hopes and you pocket your dreams
You'd trade it all to avoid an unpleasant scene
Can you face the fire when you see me there
Can you feel the fire, will you love me in the dark
In the dark
In the dark
In the dark
In the dark
In the dark
In the dark
In the dark
In the dark, ah ah ah ah",sad
Pink Floyd,One Of These Days,"One of these days, the ground will drop out from beneath your feet
One of these days, your heart will stop and play it's final beat

One of these days, the clocks will stop and time won't mean a thing
One of these days, their bombs will drop and silence everything

But it's alright, yeah it's alright, said it's alright
Easy for you to say
Your heart has never been broken
Your pride has never been stolen
Not yet, not yet, one of these days
I bet your heart 'll be broken
I bet your pride 'll be stolen
I'll bet, I'll bet, I'll bet, I'll bet
One of these days, one of these days

One of these days, your eyes will close and pain will disappear
One of these days, you will forget to hope and learn to fear

But it's alright, yeah it's alright, said it's alright
Easy for you to say
Your heart has never been broken
Your pride has never been stolen
Not yet, not yet, one of these days
I bet your heart 'll be broken
I bet your pride 'll be stolen
I'll bet, I'll bet, I'll bet, I'll bet
One of these days, one of these days

But it's alright, yeah it's alright, said it's alright
Yeah it's alright
Don't say it's alright, don't say it's alright
Don't say it's alright
One of these days your heart will stop and play it's final beat

But it's alright, easy for you to say
Your heart has never been broken
Your pride has never been stolen
Not yet, not yet, one of these days
I bet your heart will be broken
I bet your pride will be stolen
I'll bet, I'll bet, I'll bet, I'll bet
One of these days
One of these days
One of these days",sad
Van Halen,Runnin' With The Devil,"Yeah, yeah, ah, yeah
I live my life like there's no tomorrow
And all I've got, I had to steal
Least I don't need to beg or borrow
Yes I'm livin' at a pace that kills
Ooh, yeah
(Ahh)
Runnin' with the devil
(Ahh-hah, yeah)
(Woo-hoo-oo)
Runnin' with the devil
Yes I'm, yeah, hoo
Ooh, you know I
I found the simple life ain't so simple
When I jumped out, on that road
I got no love, no love you'd call real
Ain't got nobody, waitin' at home
Runnin' with the devil
(Hold on, hold on I'm runnin' ah yeah)
Runnin' with the devil
(Ooh ooh, one more time)
Runnin' with the devil
(Oh, yeah, ya-yeah)
Runnin' with the devil
(Woo, woo)
Runnin' with the devil
(I'll tell you about it)
I found the simple life, it's so simple
When I jumped out, on that road
I got no love, no love you'd call real
Ain't got nobody, waitin' at home
Runnin' with the devil
(Oh, yeah)
Runnin' with the devil
(Ah-ha, yeah, ah-ha, yeah, ah-hah, yeah)
Runnin' with the devil",angry
David Bowie,Fame,"Fame makes a man take things over
Fame lets him loose, hard to swallow
Fame puts you there where things are hollow (fame)
Fame, it's not your brain, it's just the flame
That burns your change to keep you insane (fame)
Fame, (fame) what you like is in the limo
Fame, (fame) what you get is no tomorrow
Fame, (fame) what you need you have to borrow Fame
Fame, (fame) it's mine, it's mine, it's just his line
To bind your time, it drives you to crime (fame)
Is it any wonder I reject you first?
Fame, fame, fame, fame
Is it any wonder you are too cool to fool? (fame)
Fame, bully for you, chilly for me
Got to get a rain check on pain (fame)
Fame
Fame, fame, fame
Fame, fame, fame
Fame, fame, fame, fame
Fame, fame, fame, fame
Fame, fame, fame
Fame, what's your name?
Fame",happy
Three Plus,Undercover Lover,"You're standing there with your man
But I see you lookin' at me
And so I gave you a little smile
Then you smile back at me
And ooh girl, how can I get you all alone
And ooh girl, I wanna take you home

(Chorus)
Cause I wanna be your undercover lover
That no one else can discover
Your undercover lover tonight girl, tonight girl

I seen you on Wednesday night
Watchin' Ho'onu'a give that feel good vibe
You're dancin' there with your friends
I'm so happy that I get to see you again
Your smile girl is making me go crazy
So please girl, please come home with me

(Repeat chorus)
At last we're together again
Can we be friends with benefits
I'll call you up on your cell
If you don't tell then I won't tell
I know girl that you got a man
We'll keep it on the downlow
And stick to my plan

(Repeat chorus)",relaxed
Three Plus,Honey Baby,"I saw you there standing under the mango tree
A beautiful woman who looked so fine to me
She had all the thins that I've been searching for
She had ehu hair, a flower in her ear, and bongo shorts
Chorus:
She's my Honey baby, my Honeybaby yeah
My Honeybaby, my Honeybaby yeah...
So girl I want you to know that wherever you go
I won't be far away
As I kiss your lips while you sway your hips
You'll just hear me say...
Chorus:
Instrumental:
Me say my sweet Honeybaby yes you know I love you so
So hold on tight and baby never let go
Because you know that when you call me
I'll be there when I can
And you can count on me cause I'm your  Hawaiian Superman
Chorus:
Instrumental:
Girl I just told you how I feel for you
And every word I said, yes you know it's true
Before I go there's just one more thing, my darlin'
I give you total commitment girl with this wedding ring
Chorus
Yes I want you to know that you're mine
All of the time, rain or shine
Girl you're mine...",relaxed
Three Plus,Two Person Party,"I saw you there standing under the mango tree
A beautiful woman who looked so fine to me
She had all the thins that I've been searching for
She had ehu hair, a flower in her ear, and bongo shorts
Chorus:
She's my Honey baby, my Honeybaby yeah
My Honeybaby, my Honeybaby yeah...
So girl I want you to know that wherever you go
I won't be far away
As I kiss your lips while you sway your hips
You'll just hear me say...
Chorus:
Instrumental:
Me say my sweet Honeybaby yes you know I love you so
So hold on tight and baby never let go
Because you know that when you call me
I'll be there when I can
And you can count on me cause I'm your  Hawaiian Superman
Chorus:
Instrumental:
Girl I just told you how I feel for you
And every word I said, yes you know it's true
Before I go there's just one more thing, my darlin'
I give you total commitment girl with this wedding ring
Chorus
Yes I want you to know that you're mine
All of the time, rain or shine
Girl you're mine...",relaxed
Bob Marley & The Wailers,Easy Skanking,"Easy skanking (skankin' it easy);
Easy skanking (skankin' it slow);
Easy skanking (skankin' it easy);
Easy skanking (skankin' it slow).

Excuse me while I light my spliff; (spliff)
Good God, I gotta take a lift: (lift)
From reality I just can't drift; (drift)
That's why I am staying with this riff. (riff)

Take it easy (easy skankin');
Lord, I take it easy! (easy skankin');
Take it easy (easy skankin');
Got to take it easy (easy skankin').
See: we're takin' it easy (ooh-wah-da da-da)
We taking it slow, (ooh-wah-da da-da)
Takin' it easy (easy);
Got to take it slow (slow-slow)
So take it easy (easy skankin' - da-da-da-da-da-da)
Wo-oh, take it easy (easy skankin')
Take it easy (easy skankin' - da-da-da-da-da-da)
Take it easy. (easy skankin')

Excuse me while I light my spliff; (spliff)
Oh, God, I gotta take a lift: (lift)
From reality I just can't drift; (drift)
That's why I am staying with this riff. (riff)

Take it easy (takin' it easy);
Got to take it easy (takin' it slow);
Take it easy (takin' it easy);
Skanky, take it easy (takin' it slow).

Tell you what:
herb for my wine; (ooh-wa-da-da-da)
Honey for my strong drink; (ooh-wa-da-da-da)
Herb for my wine; (ooh-wa-da-da-da)
Honey for my strong drink.

I shake it easy (takin' it easy);
Skanky, take it easy (skankin' it slow);
Take it (takin' it easy) easy;
Take it (skankin' it slow) easy;
Take it easy (takin' it easy);
Oh-oh-ooh! (skankin' it slow);
Little bit easier (takin' it easy);
Skanky, take it easy (skankin' it slow).
Take it easy! Take it easy! Take it easy!",relaxed
Gregory Isaacs,Private Beach Party,"You and me love gonna get it together
Gonna do what we want after eleven
You miss me and tease me 'cause in the end you're gonna please me
At the private beach party, our own private beach party

We are going to the beach this Sunday morning
Gonna pick you up baby, so make sure you're ready
I'm gonna hold and touch you, show how much I miss you
At the private beach party, our own private beach party
We're gonna have a party, yeah
Our own private beach party, just you and me

We're going to the beach this Sunday morning
Gonna pick you up baby so make sure you're ready
I'm gonna hold and touch you, show how much I miss you
At the private beach party, our own private beach party
Gonna have a party, just you and me

You miss me and tease me 'cause in the end you're gonna please me
At the private beach party, our own private beach party, just you and me

Going to the beach this Sunday morning, oh, yeah
Gonna pick you up baby so make sure you're ready
I'm gonna hold and touch you, show how much I miss you
At the private beach party, Lord, our own private beach party
Gonna have a party, our own private beach party

You and me love gonna get it together, oh, yeah
We're gonna do what we want after eleven
Yes, you and me love gonna get it together
We're gonna do what we want after eleven

On the beach where we're gonna be
On the beach just you and me, having a party
Our own private beach party
Only you and me going to the party",happy
Fiji,Anything You Want,"It's hard to explain
The hardships and pain
That true lovers must endure
That's for sure
I have my regrets
But much more than that
This special love we must secure
More and moreThere's no better feelin'
Than when I rise up to see the morning sun
And watch the sunrise in you eyes
You're like the summer breeze
When I'm going through my winter time
So baby take this love of mine'Cause anything you want, girl
I will give it to you
Anything you need, girl
My heart will be so true
Anything you want, girl
I will give it to you
Anything you need, girl
My heart will always be true to you
They say once you're bit, you're twice as shy
I have no reason to ask you why, why oh why
We must understand the ultimate plan
Is that we live a happy life
In the by and byThere's no better feelin'
Than when I rise up to see the morning sun
And watch the sunrise in you eyes
You're like the summer breeze
That comes to me in the winter time
So honey, I hope you realize'Cause anything you want, girl
I will give it to you
Anything you need, girl
My heart will always be true
Anything you want, girl
I will surely give it to you
Anything you need, girl
My heart will always be true to you",relaxed
