,Actual_sentiment,Predicted_sentiment,Title
0,relaxed,relaxed,Peace Of God
1,sad,happy,Las Tres Tumbas
2,sad,sad,Death Of Me
3,angry,angry,Bombtrack
4,angry,angry,Battlefield
5,happy,happy,Feel Like Makin' Love
6,angry,angry,Scream With Me
7,angry,angry,You Got That Right
8,relaxed,relaxed,Give Me Words To Speak
9,angry,angry,You Got Yr. Cherry Bomb
10,happy,happy,Since I Met You Baby
11,happy,happy,Not Fade Away
12,angry,angry,Street Fighter 
13,sad,sad,No More Mr. Nice Guy
14,sad,sad,Do Yourself A Favor
15,angry,angry,Civil War
16,sad,sad,Cyanide
17,relaxed,relaxed,There Goes My Baby
