,Actual_sentiment,Predicted_sentiment,Title
0,sad,sad,Rusty Cage
1,angry,angry,Seek And Destroy
2,happy,happy,Real Love
3,happy,happy,Heart Of Gold
4,relaxed,relaxed,When The Sun Goes Down 
5,relaxed,relaxed,Bed
6,angry,angry,Wicked Garden
7,angry,angry,You Know You're Right
8,relaxed,relaxed,What A Wonderful World 
9,relaxed,relaxed,Home
10,sad,happy,La Cumbia Del Rio
11,happy,happy,Steppin' Into Love
12,happy,happy,My Savior My God
13,happy,happy,The Lady In My Life
14,relaxed,relaxed,Sweet Leilani
15,sad,happy,Pena Tras Pena
16,angry,angry,Crash Into Me
17,relaxed,relaxed,Home
18,relaxed,relaxed,One
19,relaxed,relaxed,Home
20,happy,happy,God Great God
21,relaxed,relaxed,Paradise City
22,angry,angry,Breathe
23,angry,angry,Spellwork
24,happy,happy,This Love
25,happy,happy,Awesome God
26,angry,angry,Cocaine
27,sad,sad,Blind
28,relaxed,relaxed,Don't Worry
29,relaxed,relaxed,Rockstar 101 
30,happy,happy,Nobody 
31,happy,happy,This Will Be
32,sad,sad,I'm So Sick
33,happy,happy,Kiss You Back
34,happy,happy,You Can Have Me
35,angry,angry,Take Back The Fear
36,sad,happy,El Rey
37,happy,happy,I Love How You Love Me
38,angry,angry,Smoking Gun
39,sad,happy,Volvere
40,angry,angry,Bullet With Butterfly Wings
41,angry,angry,Don't Haffi Dread
42,happy,happy,Our God
43,angry,angry,Animal I Have Become
44,relaxed,relaxed,All The World
45,angry,angry,Everything I've Known
46,happy,happy,I Believe 
47,sad,happy,No Me Conoces Aun
48,happy,happy,What Love Has Joined Together
49,happy,happy,Still Loving You
50,relaxed,relaxed,That's How I Go 
51,happy,happy,Unconditional Love
52,happy,happy,Party Like A Rock Star
53,happy,happy,Somebody To Love
54,sad,sad,Fixed
55,happy,happy,Same Ole Love 
56,sad,sad,Holier Than Thou
57,sad,happy,Al Otro Lado Del Sol
58,happy,happy,Big Love
59,sad,sad,That Smell
60,relaxed,relaxed,The One I Love Is Gone
61,angry,angry,Lie To Me
62,sad,sad,Dirty Picture 
63,angry,angry,Terrible Lie
64,angry,angry,Do You Call My Name
65,relaxed,relaxed,Detroit City
66,relaxed,relaxed,Home
67,happy,happy,We Got Love
68,relaxed,relaxed,Not Home Yet
69,happy,happy,Love Him Like I Do 
70,sad,sad,Longview
71,relaxed,relaxed,ABC
72,angry,angry,Disarm
73,sad,sad,Tomorrow
74,angry,angry,Hit Me With Your Best Shot
75,sad,happy,Baraja De Oro 
76,happy,happy,God Only Knows
77,sad,sad,Where'd All The Time Go?
78,relaxed,relaxed,I've Seen All Good People
79,relaxed,relaxed,Free
80,sad,sad,Slow Motion 
81,angry,angry,Indestructible
82,relaxed,relaxed,God Of Wonders
83,relaxed,relaxed,Why Go
84,angry,angry,Send The Pain Below
85,relaxed,relaxed,Melody
86,angry,angry,Riot
87,happy,happy,Beautiful One
88,sad,sad,I Hung My Head
89,sad,sad,Hunger Strike
90,relaxed,relaxed,Let Me Take You Home Tonight
91,sad,angry,Bang Bang Bang 
92,angry,angry,Welcome To My Nightmare
93,happy,happy,Where Is The Love
94,angry,angry,Harvester Of Sorrow
95,sad,sad,Cat Scratch Fever
96,happy,happy,Friend Of God
97,relaxed,relaxed,Free And Easy 
98,happy,happy,Beautiful One
99,angry,angry,Nightmare
100,happy,happy,Sex Music
101,angry,angry,Rock You Like A Hurricane
102,angry,angry,Gimme Shelter
103,relaxed,relaxed,Slam
104,angry,angry,Cyclone 
105,happy,happy,It's Your Love 
106,relaxed,relaxed,Caribbean Blue
107,angry,angry,Come As You Are
108,angry,angry,The Game
109,sad,sad,Cuatro Espadas
110,happy,happy,My Love Is Your Love
111,sad,sad,Locomotive Breath
112,happy,happy,Can't Let You Go
113,relaxed,relaxed,Your Man
114,angry,angry,Rape Me
115,angry,angry,Angry Again
116,angry,angry,Until The End
117,relaxed,relaxed,Fantasy Girl 
118,angry,angry,Take You Back
119,happy,happy,I Will Always Love You
120,sad,sad,Dirthouse
121,angry,angry,Sweet Dreams 
122,angry,angry,Scream
123,angry,angry,King Of Nothing
124,happy,happy,Don't Tell Me You Love Me
125,happy,happy,Love Her Madly
126,happy,happy,Happy
127,happy,happy,Love Can
128,angry,angry,Before The Morning
129,happy,happy,The Way You Love Me
130,angry,angry,I Hate Myself For Loving You
131,relaxed,relaxed,Candy Rain
132,sad,sad,I Came To Jesus
133,happy,happy,LoveGame
134,sad,sad,Foolish
135,sad,sad,Scar Tissue
136,relaxed,relaxed,Sunset
137,sad,sad,Rock And Roll
138,happy,happy,All About Love
139,happy,happy,Love Your Love The Most
140,angry,angry,War Pigs
141,angry,angry,Cocaine
142,relaxed,relaxed,Got No Reason Now For Goin' Home
143,sad,sad,Tell Me You Get Lonely
144,happy,happy,And I Love Her
145,angry,angry,Mudshovel
146,happy,happy,I've Always Loved You
147,angry,angry,Light My Fire
148,angry,angry,Study People
149,happy,happy,This Is How We Know
150,relaxed,relaxed,Home Sweet Home
151,happy,happy,What You Won't Do For Love
152,sad,sad,Family Tree
153,relaxed,relaxed,On My Mind
154,sad,sad,Ridin 
155,sad,sad,Superbeast
156,sad,sad,You Are Not Alone
157,happy,happy,Song Of Love
158,happy,happy,Just The Way I Am
159,sad,sad,Darkness At The Bottom
160,sad,happy,Me Encantaria
161,angry,angry,Bloody Well Right
